file num_of_speakers unique_pairs len(unique_pairs) n_pairs thresholds eer comput_time

92 50 2500 2500 182250 -1.1868789905670207 0.23510204081632652 132.0298900604248 
92 50 2500 2500 176900 -1.4653552391402296 0.2230612244897959 130.29015612602234 
92 50 2500 2500 184550 -1.807980863102179 0.24224489795918366 133.80034017562866 

92 100 5329 5329 384126 -1.3183386164189876 0.20424277016742773 189.58759593963623 
92 100 5329 5329 384126 -1.3183346768263753 0.20424277016742773 191.96604895591736 
92 100 5329 5329 384126 -1.3180129244806607 0.20424277016742773 190.06784653663635 

92 150 5329 5329 384126 -1.3183828357065028 0.20424277016742773 194.32277631759644 
92 150 5329 5329 384126 -1.3182774597269054 0.20424277016742773 188.83279705047607 
92 150 5329 5329 384126 -1.3181772733992312 0.20424277016742773 194.88906049728394 

92 250 62500 62500 7720250 -0.2879463911286063 0.04761445783132533 1453.533893585205 
92 250 62500 62500 7962250 -0.15714108619821013 0.03912449799196789 1491.7088596820831 
92 250 62500 62500 7978000 -0.16542881674077717 0.04628112449799199 1509.350919008255 

92 500 250000 250000 31602500 -0.4642683554294894 0.05484969939879762 3490.4224853515625 
92 500 250000 250000 31386500 -0.285668379148 0.048615230460921866 3464.327771425247 
92 500 250000 250000 31320500 -0.4706219713916856 0.058248496993988 3441.500655412674 

92 750 562500 562500 70712250 -0.35269683829569265 0.05047174009790832 692.391688585281 
92 750 562500 562500 71174250 -0.3702742234782706 0.05317400979083223 6450.760489702225 
92 750 562500 562500 71220750 -0.31982457206316806 0.051189141076991566 6282.756560087204 

92 1000 1000000 1000000 126391000 -0.3149767595679955 0.050793293293293316 26729.900571107864 
92 1000 1000000 1000000 126813000 -0.3015832813570515 0.05016066066066068 28314.648129463196 
92 1000 1000000 1000000 126414000 -0.2717913732315484 0.04918818818818821 20894.356184005737 
