num_of_speakers unique_pairs x n_pairs thresholds eer comput_time

5 630436 630436 63043600 -3.619971131912397 0.08959297505566657 2453.7616007328033 

10 630436 630436 126087200 -3.5688270686904127 0.07805943694988582 12135.308141231537 

15 630436 630436 189130800 -3.6160524324981163 0.07814202356259589 15902.397337675095 

20 630436 630436 252174400 -3.6279486708672812 0.0768055498203741 19803.71802854538 

25 630436 630436 315218000 -3.639335230263259 0.07663481788063692 17596.451957702637 

30 630436 630436 378261600 -3.5550963661863277 0.07082516731730093 16035.766534090042 

35 630436 630436 441305200 -3.601682733406177 0.07271910069531576 22150.29878807068 

40 630436 630436 504348800 -3.563779481182573 0.07309312275864696 52017.20072102547 

45 630436 630436 567392400 -3.598995858006728 0.07314394528954546 56239.217678546906 

50 630436 630436 630436000 -3.598995858006728 0.07314394528954546 66239.217678546906 
