seed seed_eval num_of_speakers n_pairs thresholds_ig eer_ignorant thresholds_lz eer_lazy-informed

67 5000 25 625 -81.80240934723959 0.48416666666666663 -0.05013904513530197 0.040833333333333346
67 5000 25 625 -67.97820181547961 0.35 -0.6628847687503822 0.049166666666666685
67 5000 25 625 -75.88320812587828 0.4175 0.15024755740284415 0.03166666666666668
67 5000 25 625 -78.03897084727258 0.4458333333333333 -0.4993391714342873 0.07583333333333331
67 5000 25 625 -71.69000237024562 0.4091666666666667 -0.28455266943176527 0.03833333333333335
67 5000 25 625 -75.98031314619017 0.43499999999999994 -0.5788212105392792 0.06999999999999998
67 5000 25 625 -84.70533650420549 0.555 -0.4945517604482893 0.04500000000000002
67 5000 25 625 -79.09432583915734 0.43333333333333335 1.1147218920853605 0.0025
67 5000 25 625 -77.66078061761203 0.4066666666666667 -0.28978657523217227 0.040833333333333346
67 5000 25 625 -72.47461847888712 0.4025 0.26521603298648877 0.01

67 5000 50 2500 -81.28599210742928 0.4675510204081632 -0.04166832260335354 0.046734693877551046
67 5000 50 2500 -79.17677348530235 0.44959183673469383 -0.19983168924906833 0.03979591836734696
67 5000 50 2500 -72.56372987008118 0.41591836734693877 -0.644804069010996 0.07612244897959182
67 5000 50 2500 -77.44965803019728 0.4095918367346939 -0.0540535395449083 0.03734693877551022
67 5000 50 2500 -71.83453043417461 0.42061224489795923 -0.9060447353084778 0.07081632653061226
67 5000 50 2500 -74.58832992227812 0.40285714285714286 -0.6811677208951905 0.06040816326530615
67 5000 50 2500 -72.51889149241316 0.44693877551020406 -0.6989718353985518 0.06142857142857146
67 5000 50 2500 -79.03430294837428 0.4238775510204082 -0.9182537452643862 0.08244897959183672
67 5000 50 2500 -73.47135084474394 0.3957142857142857 -0.09826749853056771 0.043061224489795935
67 5000 50 2500 -76.56047531130201 0.39693877551020407 -0.41046358653647985 0.04448979591836737

67 5000 75 5625 -80.90594777751558 0.4401801801801801 0.4316346427366751 0.02270270270270268
67 5000 75 5625 -69.23308897662174 0.37648648648648647 -0.28013619310086013 0.04306306306306308
67 5000 75 5625 -71.38506970365873 0.40126126126126127 -0.18719813722093512 0.05324324324324325
67 5000 75 5625 -71.81902159439414 0.3884684684684685 -0.559829560730602 0.06054054054054055
67 5000 75 5625 -75.06869832721387 0.42414414414414414 -0.6606842193078425 0.0662162162162162
67 5000 75 5625 -74.87960309069375 0.43036036036036035 -0.0693326821190832 0.03810810810810812
67 5000 75 5625 -78.0711193084351 0.4245045045045045 -0.5183235347991529 0.05864864864864865
67 5000 75 5625 -76.21211352247246 0.4381081081081081 -0.5643359072692776 0.06774774774774775
67 5000 75 5625 -78.84153228661137 0.4136036036036036 0.0720113306631495 0.03387387387387389
67 5000 75 5625 -77.38400253661226 0.4485585585585586 -0.48252429842078687 0.06855855855855855

67 5000 100 10000 -72.58036147904211 0.3941414141414141 -0.38569394172774835 0.05878787878787882
67 5000 100 10000 -80.43072928727588 0.4613636363636363 -0.558290051119116 0.06222222222222225
67 5000 100 10000 -80.59406507423597 0.44267676767676767 -0.5485824664808545 0.06520202020202023
