seed seed_eval num_of_speakers n_pairs thresholds_ig eer_ignorant thresholds_lz eer_lazy-informed

24 100 25 625 -56.12847148646264 0.32499999999999996 -2.5759806636175244 0.13833333333333336
24 100 25 625 -65.10912450826635 0.32166666666666666 -3.9207831038847334 0.16000000000000003
24 100 25 625 -54.81920653977404 0.245 -2.2167361029809034 0.10833333333333334
24 100 25 625 -57.50792963805388 0.23583333333333334 -4.276308350756309 0.20166666666666666
24 100 25 625 -62.05176028587399 0.23916666666666667 -2.7821979759981743 0.12166666666666667
24 100 25 625 -57.152772352919236 0.23166666666666666 -4.431262563850967 0.21499999999999997
24 100 25 625 -55.530529050458654 0.24916666666666668 -2.3992608745480735 0.13416666666666668
24 100 25 625 -60.30567968278164 0.2841666666666667 -2.670797425180545 0.12166666666666667
24 100 25 625 -56.28704217426022 0.24916666666666668 -2.771045143140346 0.11249999999999999
24 100 25 625 -57.283779052114106 0.2858333333333334 -4.463780633343861 0.2791666666666667
 
24 100 50 2500 -64.32122555646481 0.30040816326530617 -3.893347785519184 0.1648979591836735
24 100 50 2500 -63.946629393735456 0.31000000000000005 -3.02883558502475 0.11755102040816326
24 100 50 2500 -63.65163130268051 0.31877551020408157 -3.069368430472205 0.1389795918367347
24 100 50 2500 -63.580587896772414 0.276734693877551 -3.3846463681028145 0.13857142857142857
24 100 50 2500 -57.488497328547155 0.27877551020408164 -2.675024257803363 0.1326530612244898
24 100 50 2500 -60.818339853517536 0.29938775510204085 -3.436274333139035 0.1373469387755102
24 100 50 2500 -60.72126333304577 0.27918367346938777 -3.535228478077843 0.13816326530612244
24 100 50 2500 -58.79044874678324 0.30183673469387756 -3.057236828993622 0.15551020408163269
24 100 50 2500 -54.908465744182415 0.2393877551020408 -3.0155680716799713 0.14346938775510204
24 100 50 2500 -56.72462683673173 0.216734693877551 -3.2446104409394976 0.15408163265306124
 
24 100 75 5625 -63.31131470183716 0.30495495495495495 -3.6312080536494595 0.14414414414414412
24 100 75 5625 -61.11389491601363 0.29648648648648646 -3.2321549388538764 0.14720720720720717
24 100 75 5625 -58.33656244289822 0.26648648648648654 -3.4829309134765087 0.15900900900900902
24 100 75 5625 -59.59502932395805 0.2657657657657658 -4.046057490578821 0.16315315315315315
24 100 75 5625 -64.24865383598386 0.3109009009009009 -3.4349223494083154 0.15711711711711712
24 100 75 5625 -62.130217273548276 0.27891891891891896 -3.5690359122414597 0.16000000000000003
24 100 75 5625 -62.048003252032004 0.30486486486486486 -3.850657811664848 0.17603603603603604
24 100 75 5625 -64.01569948710042 0.32099099099099093 -3.183049277581008 0.1308108108108108
24 100 75 5625 -57.90014312642025 0.25135135135135134 -3.222751069723126 0.14468468468468465
24 100 75 5625 -59.19266025305558 0.3061261261261261 -3.491781735421 0.14873873873873872
 
24 100 100 10000 -61.292088634617635 0.24651515151515152 -3.2678863283873563 0.13767676767676768
24 100 100 10000 -62.16739472806903 0.29020202020202024 -3.7437150632278433 0.16010101010101013
24 100 100 10000 -59.794105949132316 0.28065656565656566 -3.502015174539266 0.15020202020202023
24 100 100 10000 -63.90430556316669 0.3118686868686869 -3.493336437254489 0.1582828282828283
24 100 100 10000 -60.80691613251085 0.2795959595959596 -3.8072468819681475 0.15944444444444444
24 100 100 10000 -61.15809459945853 0.2912626262626263 -3.7099333925522093 0.18297979797979802
24 100 100 10000 -60.18243283565536 0.23439393939393938 -3.1209716521204873 0.12833333333333335
24 100 100 10000 -60.26096052497715 0.29181818181818187 -3.9279193722195234 0.19116161616161614
24 100 100 10000 -61.04744127419471 0.2877777777777778 -3.908430084970407 0.18262626262626264
24 100 100 10000 -61.42837609195782 0.28101010101010104 -3.2154097389336904 0.14772727272727273
 
24 100 125 15625 -61.47454783203578 0.2785483870967742 -3.921708945663355 0.18312903225806454
24 100 125 15625 -62.135650944960545 0.2872903225806452 -3.646004668016807 0.16045161290322582
24 100 125 15625 -59.48042954060103 0.2755483870967742 -3.768078342909704 0.1748709677419355
24 100 125 15625 -62.53313491501633 0.3052903225806452 -3.8153729907745078 0.16029032258064518
24 100 125 15625 -63.696514172786046 0.3120967741935484 -3.661254934347924 0.15829032258064518
24 100 125 15625 -60.8301312232595 0.27390322580645166 -3.4355815343774307 0.15893548387096776
24 100 125 15625 -63.33879694827875 0.29074193548387095 -4.008219386212167 0.18332258064516133
24 100 125 15625 -61.805394563871914 0.3153225806451613 -3.5923112208533796 0.16916129032258065
24 100 125 15625 -60.64252017671932 0.281 -3.5485091052741478 0.15983870967741937
24 100 125 15625 -62.41472781853766 0.29174193548387095 -3.562866319849779 0.16538709677419355
 
24 100 150 22500 -65.38953801024259 0.3167114093959732 -3.6124788645428336 0.15899328859060405
24 100 150 22500 -61.481149284209245 0.2829530201342282 -3.5425321606220983 0.15984340044742731
24 100 150 22500 -62.43409657789859 0.30369127516778527 -3.650259378329669 0.16017897091722597
24 100 150 22500 -61.93073456132418 0.285413870246085 -3.92387045273461 0.18196868008948547
24 100 150 22500 -62.50242904572693 0.2809395973154363 -3.5395026849711186 0.15997762863534676
24 100 150 22500 -64.8681969682098 0.3067114093959732 -3.7776477026087987 0.16590604026845635
24 100 150 22500 -61.379796891124165 0.27912751677852354 -3.631241560545431 0.15834451901566
24 100 150 22500 -61.34015975636703 0.27239373601789707 -3.323549518808656 0.14340044742729302
24 100 150 22500 -60.671312258405905 0.27313199105145414 -3.753011343878546 0.1661297539149888
24 100 150 22500 -63.311297620717916 0.292841163310962 -3.586082221565247 0.15322147651006712
 
24 100 175 30625 -62.00641880128006 0.2920032840722496 -3.6347992135795124 0.15380952380952378
24 100 175 30625 -59.425603493642996 0.28492610837438426 -3.594546300511703 0.16986863711001637
24 100 175 30625 -60.84196640819973 0.27586206896551724 -3.5717340756543723 0.15924466338259444
24 100 175 30625 -62.28604720928852 0.3039080459770115 -3.6117094514062282 0.16121510673234812
24 100 175 30625 -60.717653491640874 0.2791297208538588 -3.5502977494940637 0.16684729064039408
24 100 175 30625 -64.13797181185697 0.29211822660098524 -3.659708190222144 0.16288998357963874
24 100 175 30625 -60.302234077982284 0.2863218390804598 -3.302893211450603 0.15866995073891627
24 100 175 30625 -61.12955288840799 0.2661247947454844 -3.647091294008713 0.16505747126436782
24 100 175 30625 -61.56461686257196 0.268423645320197 -3.6744755523244965 0.15972085385878493
24 100 175 30625 -60.773526000543036 0.27889983579638755 -3.600066827722656 0.16518883415435137
 
24 100 200 40000 -61.738623579229724 0.2814070351758794 -3.585739114017685 0.16072864321608044
24 100 200 40000 -61.77536513924965 0.28964824120603017 -3.6413556458154006 0.1648743718592965
