seed seed_eval num_of_speakers n_pairs thresholds_ig eer_ignorant thresholds_lz eer_lazy-informed

60 1000 25 625 -58.349737032033026 0.2033333333333333 -4.193958315772147 0.15916666666666668
60 1000 25 625 -57.65331600174638 0.3075 -3.5199972277183456 0.16083333333333333
60 1000 25 625 -52.995059357783425 0.29 -3.4676352174408986 0.18999999999999997
60 1000 25 625 -54.17654009805585 0.36416666666666664 -3.4511189793918757 0.22749999999999998
60 1000 25 625 -50.8532018540389 0.27166666666666667 -3.1856661185419353 0.15416666666666667
60 1000 25 625 -55.82861325995196 0.23083333333333333 -2.2279539937905484 0.11833333333333333
60 1000 25 625 -62.16676987658418 0.27666666666666667 -3.3323003893337493 0.1275
60 1000 25 625 -52.86695846452786 0.20416666666666666 -3.126294171265029 0.16000000000000003
60 1000 25 625 -51.968297357400125 0.20749999999999996 -3.624274444194129 0.16666666666666669
60 1000 25 625 -59.62978900669048 0.39 -4.455357526634376 0.20166666666666666
 
60 1000 50 2500 -58.265167110407724 0.27 -3.8251822635917008 0.17979591836734696
60 1000 50 2500 -52.31808750949628 0.24040816326530612 -3.283474333979175 0.17571428571428574
60 1000 50 2500 -57.22242073108716 0.2197959183673469 -3.5317911457563946 0.14040816326530614
60 1000 50 2500 -56.50430105737931 0.24 -2.6903108237174154 0.1312244897959184
60 1000 50 2500 -57.84561961636338 0.26346938775510204 -3.5973082656732336 0.16938775510204085
60 1000 50 2500 -59.41607296652685 0.26510204081632655 -3.789873834219965 0.23673469387755103
60 1000 50 2500 -57.08414448632834 0.24326530612244898 -4.0959465794674355 0.21612244897959182
60 1000 50 2500 -56.725681099414054 0.28163265306122454 -3.464399081178397 0.15979591836734697
60 1000 50 2500 -62.40608432491078 0.26265306122448984 -3.542511425572243 0.15918367346938778
60 1000 50 2500 -62.649945011032614 0.33183673469387753 -3.5078912587484314 0.16163265306122448
 
60 1000 75 5625 -62.648934597174424 0.2804504504504505 -4.177438652108383 0.2027027027027027
60 1000 75 5625 -59.357025052167856 0.29252252252252253 -3.800137751722751 0.18423423423423424
60 1000 75 5625 -60.36162481820999 0.2754954954954955 -3.6125837127393416 0.15954954954954959
60 1000 75 5625 -57.87026193815006 0.2638738738738739 -3.1820211946818224 0.14396396396396394
60 1000 75 5625 -58.856113330368174 0.2909009009009009 -3.805829053504728 0.17252252252252254
60 1000 75 5625 -58.46658787030338 0.26423423423423426 -3.9391091207134634 0.21144144144144145
60 1000 75 5625 -58.39241078661637 0.255045045045045 -3.8333766480149762 0.17396396396396396
60 1000 75 5625 -59.68807501690216 0.2666666666666667 -3.866285751085363 0.18774774774774772
60 1000 75 5625 -60.136739785918344 0.28081081081081083 -3.8806592171624756 0.19783783783783782
60 1000 75 5625 -58.952931209225945 0.2147747747747748 -3.9301654362727034 0.16171171171171173
 
60 1000 100 10000 -61.047472567090594 0.27166666666666667 -3.446651882425555 0.1577777777777778
60 1000 100 10000 -60.26068474396214 0.2911111111111111 -3.4239841925837733 0.17848484848484852
60 1000 100 10000 -58.85604415015309 0.24686868686868685 -3.910183975347594 0.18040404040404043
